Text sin stop words,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism
"people step case , people situation .    lump mess matters hands makes kinds protests selfish rational thought investigation .    guy video heavily emotional hyped wants heard , gets heard presses .    reasonable discussion .    Kudos Smerconish keeping level time letting Masri fool .    dare tore city protest dishonor entire incident hate .    way , police brutality epidemic ?    wish stop pretending like knew EXACTLY going , measurable people honestly witnessed incident , clue way issue swung .    grand jury informed , trust majority rule right course action let .    , thank 99.999 % police officers America   actually serve & protect , bit jerk pull , respect job know people going pout held accountable actions .    People hate police need officer emergency .",0,0,0,0,0,0,0,0,0,0,0,0
Law enforcement trained shoot apprehend .   trained shoot kill .   thank Wilson killing punk bitch .,1,1,0,0,0,0,0,0,0,0,0,0
"
 nt reckon ' black lives matter ' banners held white cunts   kinda patronizing ironically racist . come somethin better .. white folks selves pride . ' ooo look m nice black people ' race actually world pussyfootin fear racist . fuckin daft man .",1,1,0,0,1,0,0,0,0,0,0,0
"large number people like police officers . called Criminals reason police officers . fact Criminals like police officers testament good work police officers protecting public . children family danger , hessitate help , Police . time people stopped complaining started Police respect hard work dedication requires lives line , serve public .",0,0,0,0,0,0,0,0,0,0,0,0
"Arab dude absolutely right , shot 6 extra time . Shoot s attacking stop attack . Shoot twice attacking , times ? shoot kill opinion .  ",0,0,0,0,0,0,0,0,0,0,0,0
people facebook   https://www.facebook.com/bassem.masri.520 ties isis terrorist groups muslim extremist  ,1,0,0,0,0,1,0,0,0,0,1,0
"Check tube post . "" Black man goes epic rant Ferguson rioters . "" 

 message delivered childish , cartoon - ish emotions .... African American gets .",1,0,0,0,0,1,1,0,0,0,0,0
LOVE pussy Staten Island spit cop . LOVE happen . Mike Brown strong arm thug people burning Ferguson . Eric Garnier wrong choked death . protest mafia controlled Staten Island . burning cars . .,1,1,0,0,1,1,1,0,0,0,0,0
agree protestor .,0,0,0,0,0,0,0,0,0,0,0,0
mike browns father boooshit,1,1,0,0,1,0,0,0,0,0,0,0
guy right point . judge speaking abilities judge messege ! racist fucks suck dick . like media focusing thing matter . CNN shit .,1,1,0,0,1,0,0,0,0,0,0,0
"moral story , reach cops gun probably gunna shot , white black",0,0,0,0,0,0,0,0,0,0,0,0
Masri close ISIS America .  ,1,1,0,0,0,0,0,0,0,0,0,0
know chimpers compassion mud pumping hearts .,1,0,0,0,0,1,1,0,0,0,0,0
""" believe wanna believe , care . "" 
 Bassem Masri , idiot .",1,1,0,0,0,0,0,0,0,0,0,0
Bassem Masri terrorist isis,1,0,0,0,0,1,0,0,0,0,1,0
would'nt waist time trying reason Police spitting Thug .   Trying defend Criminal Brown losing matter .   Grand Jury decision .    Live .,1,1,0,1,0,0,0,0,0,0,0,0
"wish mr masri dead , ,",1,1,0,0,0,0,0,0,0,0,0,0
", collapse USA , possibilities considered , , , boils dictatorship evil reprisals , possibility new reconstruction , people fundamentally conscious responsibilities attain government bring effective valuable new start . actually occur , currently extremely questionable , presently , totalitarian manner , directed interests economic , military , political cultural – strict fundamentalist religious - sectarian – based enormous lies devious , misanthropic , criminal felonious machinations imaginable regard . means population USA spied secret services severely neighbourhoods , forth , , possible manner restricted freedom , addition violence , emerges form , openly covertly.﻿",0,0,0,0,0,0,0,0,0,0,0,0
"actually shout "" fire "" crowded theater . Christopher Hitchens demonstrated talk "" free speech . "" Look . interviewee correct . Cops serve public , way . consistent serving public police department represent public race ethnicity ranks . Hire bunch big , tough , black guys police department fewer blacks shot death puny white guy felt humiliated got bitch slapped teenager .",1,1,0,0,1,0,0,0,0,0,0,0
"think , kill",1,1,0,0,0,0,0,0,0,0,0,0
LEGALIZE MARIJUANA ! problems stop,0,0,0,0,0,0,0,0,0,0,0,0
1 word : Provocateur ........,0,0,0,0,0,0,0,0,0,0,0,0
Lol . happens greedy rich slime masses uneducated & ignorant . deal stupid created . Trying reason irrational exercise futility . popcorn ready bc boil . fall talk fall walking .,1,1,0,0,0,0,0,0,0,0,0,0
"legal system inherently racist , CNN reporter",1,1,0,0,0,0,0,0,0,0,0,0
